PWL_ID,WIN,NAME,DESCRIPT,BASIN,FACT_SHEET,Shape_Length
1701-0348,(MW0.0)  AO (portion 6),Atlantic Ocean Coastline,coastline from Shinnecock Inlet to Montauk Point,Atlantic-Long Island Sound,https://www.dec.ny.gov/data/WQP/PWL/1701-0348.pdf,
1701-0349,(MW0.0)  AO (portion 5),Atlantic Ocean Coastline,coastline from Moriches Inlet to Shinnecock Inlet,Atlantic-Long Island Sound,https://www.dec.ny.gov/data/WQP/PWL/1701-0349.pdf,
0104-0032,Ont 158-E (portion 1),Lake Erie (Erie Basin),portion as described below,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0104-0032.pdf,
0104-0033,Ont 158-E (portion 2),"Lake Erie (Outer Harbor, North)",portion as described below,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0104-0033.pdf,
0104-0035,Ont 158-E (portion 4),Lake Erie (Northeast Shoreline),portion as described below,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0104-0035.pdf,
0104-0036,Ont 158-E (portion 5),Lake Erie (Northeast Shoreline),portion as described below,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0104-0036.html,
0104-0037,Ont 158-E (portion 6),"Lake Erie (Main Lake, North)",portion as described below,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0104-0037.html,
0105-0033,Ont 158-E (portion 7),"Lake Erie (Main Lake, South)",portion as described below,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0105-0033.html,
0301-0053,Ont   (portion 22),"Lake Ontario Shoreline, Western",shoreline from Roosevelt Beach to Niagara River,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0301-0053.html,
0301-0068,Ont   (portion 17),Rochester Embayment - West,shoreline from Genesee River to Manitou Beach,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0301-0068.html,
0104-0034,Ont 158-E (portion 3),"Lake Erie (Outer Harbor, South)",portion as described below,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0104-0034.pdf,
0105-0009,Ont 158-E (portion 7a),Lake Erie (Dunkirk Harbor),portion as described below,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0105-0009.html,
0105-0011,Ont 158-E (portion 7b),Lake Erie (Barcelona Harbor),portion as described below,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0105-0011.pdf,
0301-0069,Ont   (portion 18),"Lake Ontario Shoreline, Western",shoreline from Manitou Beach to North Hamlin,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0301-0069.html,
0301-0070,Ont   (portion 19),"Lake Ontario Shoreline, Western",shoreline from North Hamlin to Point Breeze,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0301-0070.html,
0301-0071,Ont   (portion 20),"Lake Ontario Shoreline, Western",shoreline from Point Breeze to Olcott,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0301-0071.html,
0301-0072,Ont   (portion 21),"Lake Ontario Shoreline, Western",shoreline from Olcott to Roosevelt Beach,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0301-0072.html,
0302-0002,Ont   (portion 16),Rochester Embayment - East,nearshore area of Lake Ontario in Monroe Co.,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0302-0002.html,
0302-0040,Ont   (portion 10),"Lake Ontario Shoreline, Oswego",shoreline within Oswego Harbor,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0302-0040.pdf,
0302-0041,Ont   (portion 11),"Lake Ontario Shoreline, Central",shoreline from Oswego to West Ninemile Point,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0302-0041.pdf,
0302-0042,Ont   (portion 12),"Lake Ontario Shoreline, Central",shoreline from West Ninemile Point to Port Bay,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0302-0042.pdf,
0302-0043,Ont   (portion 13),"Lake Ontario Shoreline, Central",shoreline from Port Bay to Sodus Bay,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0302-0043.pdf,
0302-0044,Ont   (portion 14),"Lake Ontario Shoreline, Central",shoreline from Sodus Bay to Pultneyville,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0302-0044.html,
0302-0045,Ont   (portion 15),"Lake Ontario Shoreline, Central",shoreline from Pultneyville to Ninemile Point,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0302-0045.pdf,
0303-0017,Ont   (portion  9),"Lake Ontario Shoreline, Eastern",shoreline from Texas to Oswego,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0017.pdf,
0303-0023,Ont   (portion  1),"Lake Ontario Shoreline, Eastern",shoreline from Tibbetts Point to Point Peninsula,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0023.pdf,
0303-0024,Ont   (portion  2),"Lake Ontario Shoreline, Eastern",shoreline from Point Peninsula to Bull Rock Point,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0024.pdf,
0303-0026,Ont   (portion  3),"Lake Ontario Shoreline, Eastern",shoreline from Bull Rock Point to Sackets Harbor,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0026.pdf,
0303-0027,Ont   (portion  4),"Lake Ontario Shoreline, Eastern",shoreline from Sackets Harbor to Association Island,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0027.pdf,
0303-0028,Ont   (portion  5),"Lake Ontario Shoreline, Eastern",shoreline from Association Island to Sawyer Point,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0028.pdf,
0303-0029,Ont   (portion  6),"Lake Ontario Shoreline, Eastern",shoreline from Sawyer Point to Monterio Point,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0029.pdf,
0303-0030,Ont   (portion  7),"Lake Ontario Shoreline, Eastern",shoreline from Montario Point to Selkirk,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0030.pdf,
0303-0031,Ont   (portion  8),"Lake Ontario Shoreline, Eastern",shoreline from Selkirk to Texas,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0031.pdf,
1701-0198,(MW0.0)  AO (portion 2),Atlantic Ocean Coastline,coastline from Queens/Nassau line to Jones Inlet,Atlantic-Long Island Sound,https://www.dec.ny.gov/data/WQP/PWL/1701-0198.pdf,
1701-0350,(MW0.0)  AO (portion 4),Atlantic Ocean Coastline,coastline from Fire Island Inlet to Moriches Inlet,Atlantic-Long Island Sound,https://www.dec.ny.gov/data/WQP/PWL/1701-0350.pdf,
1701-0351,(MW0.0)  AO (portion 3),Atlantic Ocean Coastline,coastline from Jones Inlet to Fire Island Inlet,Atlantic-Long Island Sound,https://www.dec.ny.gov/data/WQP/PWL/1701-0351.pdf,
1701-0014,(MW0.0)  AO (portion 1),Atlantic Ocean Coastline,coastline from Rockaway Point to Queens/Nassau line,Atlantic-Long Island Sound,https://www.dec.ny.gov/data/WQP/PWL/1701-0014.html,
